Symbiota ID,Catalog Number,Additional Identifiers,Family,ID Qualifier,Scientific Name,Author,Collector,Collector Number,Associated Collectors,Date,Verbatim Date,Identified By,Date Identified,Country,Locality,Latitude,Longitude,Uncertainty In Meters,Georeferenced By,Georeference Protocol,Georeference Sources,Georef Remarks,Elev. Min. (m),Elev. Max. (m),Habitat,Substrate,Notes (Occurrence Remarks),Associated Taxa,Description,Date Last Modified,Processing Status,Entered By,Basis Of Record,Language,Continent
https://fm-digital-assets.fieldmuseum.org/446/225/C0029540F.jpg,C0029540F,340376,Scapaniaceae,,Anastrophyllum minutum,(Schreb.) R. M. Schust.,,s.n.,,,,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/447/456/C0080860F_a.jpg,C0080860F,1029065,Aytoniaceae,,Mannia triandra,(Scop.) Grolle,unknown,134,,,s.d.,,,,New York and Canada,,,,,,,,,,"On slate and limestone rocks in ravines, New York and Canada",,,,,2025-12-26 10:34:59,,,PreservedSpecimen,en,North America
https://fm-digital-assets.fieldmuseum.org/434/447/C0030178F_a.jpg,C0030178F,,Jungermanniaceae,,Solenostoma cordifolium,(Dumort.) Steph.,E. Hall,s.n.,,1862-00-00,1862,,,,Rocky Mountains,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/435/854/C1048496F.jpg,C1048496F,,Ricciaceae,,Riccia crystallina,L.,J. Wolf & J. T. Rothrock,s.n.,,1872-00-00,1872,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/435/895/C1048708F.jpg,C1048708F,,Ricciaceae,,Riccia fluitans,L.,J. Wolf & J. T. Rothrock,,,1873-00-00,1873,,,,West of the 100th Meridian,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/436/033/C1049231F.jpg,C1049231F,,Ricciaceae,,Riccia fluitans,L.,L. M. Underwood & O. F. Cook,41,,1889-08-00,1889-8,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/436/102/C1049266F.jpg,C1049266F,,Ricciaceae,,Riccia crystallina,L.,unknown,1486,,1907-03-15,1907-3-15,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/437/374/C0032684F.jpg,C0032684F,,Scapaniaceae,,Barbilophozia hatcheri,(A. Evans) Loeske,J. R. Rastorfer,PAL-160,J. M. Gnau,1969-02-27,1969-2-27,,,,"Argentine Islands, West Antartica, Easternmost Island of the...",-65.241667,-64.239722,,,,label,,,,,,,,,2024-08-19 15:03:03,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/439/459/C0080799F.jpg,C0080799F,,Marchantiaceae,,Marchantia polymorpha,L.,Wolf & Rothrock,s.n.,,1873-00-00,1873,,,,West of the 100th Meridian,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
https://fm-digital-assets.fieldmuseum.org/439/496/C1045596F.jpg,C1045596F,,Marchantiaceae,,Marchantia polymorpha,L.,E. Hall,s.n.,,1862-00-00,1862,,,,Rocky Mountains,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
,C1045667F,,Marchantiaceae,,Marchantia polymorpha,L.,A. G. J. Brouard,20318,,1934-08-09,9.XIII.1934,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
,C1045710F,,Marchantiaceae,,Marchantia polymorpha,L.,unknown,6670,,1953-07-19,1953-7-19,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
,C1046035F,,Marchantiaceae,,Marchantia polymorpha,L.,J. Blake,s.n.,,,s.d.,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
,C1046331F,,Marchantiaceae,,Marchantia,L.,A. B. Langlois,s.n.,,1881-03-00,1881-3,,,,,,,,,,,,,,On old brick wall,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
,C1047174F,,Marchantiaceae,,Marchantia domingensis,Lehm. & Lindenb.,D. Richards,765,,1940-02-01,1940-2-1,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
,C1047555F,,Marchantiaceae,,Marchantia polymorpha,L.,E. J. Hill,164,,1878-07-23,July 23 1878,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
,C1047722F,,Marchantiaceae,,Marchantia polymorpha,L.,unknown,s.n.,,1897-05-28,May 28 1897,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
,C1047746F,,Marchantiaceae,,Marchantia polymorpha,L.,unknown,134,,1895-00-00,1895,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
,C1047758F,,Marchantiaceae,,Marchantia polymorpha,L.,unknown,s.n.,,,s.d.,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
,C1048333F,,Marchantiaceae,,Preissia quadrata,(Scop.) Nees,L. M. Underwood,17,,,s.d.,,,,,,,,,,,,,,"On moist rocks, especially slate and limestone",,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
,C1043749F,,Metzgeriaceae,,Metzgeria furcata,(L.) Dumort.,unknown,117,,,s.d.,,,,,,,,,,,,,,On rocks and roots of trees,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
,C1043364F,1069405,Pallaviciniaceae,,Pallavicinia lyellii,(Hook.) Carruth.,Lanning,s.n.,,,s.d.,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
,C1043418F,798761,Pallaviciniaceae,,Pallavicinia lyellii,(Hook.) Carruth.,unknown,s.n.,,,s.d.,,,,,,,,,,,,,,"Among mosses in swamps, often aquatic",,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
,C0071325F,,Porellaceae,,Porella platyphylla,(L.) Pfeiff.,[collector unknown],Fasc 94,,1854-00-00,1854,,,,,,,,,,,,,,,,[looks like an exsiccat but not in our list],,,2026-01-22 15:41:49,expert required,,PreservedSpecimen,en,
,C0043907F,,Radulaceae,,Radula complanata,(L.) Dumort.,F. Lilienfeldówna,99,,,s.d.,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
,C0045893F,,Radulaceae,,Radula complanata,(L.) Dumort.,unknown,85,,,s.d.,,,,,,,,,,,,,,On rocks and roots of trees,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
,C1047978F,,Ricciaceae,,Riccia frostii,Austin,Wolf & Rothrock,s.n.,,1873-00-00,1873,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
,C1048162F,,Ricciaceae,,Ricciocarpos natans,(L.) Corda,unknown,s.n.,,,s.d.,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
,C1048392F,,Ricciaceae,,Ricciocarpos natans,(L.) Corda,unknown,146,,,s.d.,,,,,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
,C0040450F,,Lophoziaceae,,Lophozia incisa,(Schrad.) Dumort.,J. Wolf & J. T. Rothrock,s.n.,,1873-00-00,1873,,,,West of the 100th Meridian,,,,,,,,,,,,,,,2026-02-26 11:36:39,,,PreservedSpecimen,en,
,C0035904F,,Scapaniaceae,,Scapania undulata var. oakesii,(Austin) H. Buch,E. Hall,s.n.,,,s.d.,,,,Rocky Mountains,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
,C0075348F,,Mniaceae,,Mnium orthorrhynchum,Brid.,J. Macoun,,,1869-00-00,1869,,,,Lake Superior,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
,C0078065F,,Bryaceae,,Bryum cirrhatum,Vill.,Wolf & Rothrock,s.n.,,1873-00-00,1873,,,,West of the 100th Meridian,,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
,C0078490F,,Bryaceae,,Bryum cernuum,Brid.,C. F. Austin,s.n.,,1865-00-00,1865,,,,[illegible],,,,,,,,,,,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
,C0078747F,,Bryaceae,,Bryum carneum,With.,unknown,260,,,,,,,Rocky Mountains,,,,,,,,,,Near springs,,,,,2023-04-25 03:20:34,,,PreservedSpecimen,en,
